PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,O2-0.1 bar (mol/kg)
24.10888,28.27167,8780.71,0.94386,5.84E-06,52.13675214,41.02564103,3.418803419,3.418803419,0,0,0,0.058396469
8.66317,9.76361,7545.81,0.8085,3.83E-06,50.3875969,43.41085271,3.100775194,3.100775194,0,0,0,0.038257433
23.74486,28.52567,8254.16,0.94274,5.84E-06,50.3875969,43.41085271,3.100775194,3.100775194,0,0,0,0.05912631
26.74378,26.95282,2036.21,0.7663,1.82E-06,57.37704918,36.06557377,3.278688525,0,0,0,3.278688525,0.017798361
13.27242,13.43695,3165.78,0.74132,5.13E-06,60.6557377,32.78688525,3.278688525,0,0,0,3.278688525,0.051241782
21.96829,23.32506,3332.1,0.8293,5.47E-06,56.12903226,34.83870968,5.161290323,0,0,0,3.870967742,0.054451704
21.6188,27.24002,7704.41,0.93374,5.02E-06,56.12903226,34.83870968,5.161290323,0,0,0,3.870967742,0.049675252
46.90901,47.73559,7443.25,0.9449,5.97E-06,61.30653266,35.67839196,3.015075377,0,0,0,0,0.060027869
7.14934,8.65257,2880.78,0.69064,4.43E-06,56.38297872,38.29787234,4.255319149,0,1.063829787,0,0,0.044093171
13.62206,13.99386,1577.58,0.64524,2.18E-06,60,20,10,10,0,0,0,0.021781227
27.87325,28.05828,1853.12,0.76472,1.74E-06,57.89473684,26.31578947,10.52631579,5.263157895,0,0,0,0.017243824
16.60555,16.94837,1577.74,0.67286,3.09E-06,62.22222222,28.88888889,4.444444444,4.444444444,0,0,0,0.031214427
8.10818,8.32513,1665.12,0.61264,1.33E-06,56.98924731,38.70967742,4.301075269,0,0,0,0,0.013798965
25.93049,26.13967,2172.29,0.777,1.80E-06,55.55555556,35.55555556,8.888888889,0,0,0,0,0.017806351
20.59917,20.89927,2423.07,0.76136,1.81E-06,50.87719298,40.35087719,8.771929825,0,0,0,0,0.018435054
21.78847,22.30685,2764.14,0.80266,1.84E-06,49.15254237,38.98305085,8.474576271,3.389830508,0,0,0,0.017803775
13.19498,13.6119,2471.61,0.70722,3.20E-06,55.2,35.2,9.6,0,0,0,0,0.032236852
20.05131,20.15652,1723.84,0.71928,1.92E-06,55.67010309,22.68041237,2.06185567,12.37113402,6.18556701,0,1.030927835,0.019003344
24.96346,25.19248,1819.45,0.7466,1.92E-06,59.437751,24.89959839,0.803212851,9.638554217,4.819277108,0,0.401606426,0.019545835
24.17971,24.4998,1776.2,0.73812,1.96E-06,59.67741935,25.80645161,0,9.677419355,4.838709677,0,0,0.020260503
19.84175,19.95931,1672.28,0.71336,1.94E-06,55.38461538,21.53846154,3.076923077,12.30769231,6.153846154,0,1.538461538,0.019709294
21.00602,21.24724,1745.55,0.728,1.94E-06,58.18181818,25.45454545,0,10.90909091,5.454545455,0,0,0.019181159
24.55927,24.73322,1734.83,0.74674,1.96E-06,58.62068966,24.13793103,0,10.34482759,5.172413793,0,1.724137931,0.019593616
25.04365,25.10039,1656.93,0.73208,1.84E-06,55.95854922,19.68911917,1.03626943,12.43523316,6.21761658,0,4.663212435,0.018233138
22.67602,22.92273,1681.82,0.72268,2.00E-06,55.76923077,21.15384615,3.846153846,11.53846154,5.769230769,0,1.923076923,0.019946667
23.46285,23.75776,1502.8,0.66606,1.00E-06,56.75675676,37.83783784,2.702702703,2.702702703,0,0,0,0.010288622
13.70432,14.13053,1449.62,0.58206,1.14E-06,60.71428571,35.71428571,3.571428571,0,0,0,0,0.011468807
22.22368,22.39188,2032.25,0.72808,1.87E-06,56.25,37.5,6.25,0,0,0,0,0.018496702
21.36842,21.48313,1971.11,0.72196,1.69E-06,55.31914894,36.17021277,8.510638298,0,0,0,0,0.016611567
22.2217,22.36482,2117.3,0.74104,1.66E-06,54.34782609,34.7826087,10.86956522,0,0,0,0,0.016628398
23.17624,23.40945,2204.8,0.74792,1.90E-06,56.25,37.5,6.25,0,0,0,0,0.019127108
21.25085,21.50173,1997.7,0.73662,1.54E-06,53.33333333,33.33333333,13.33333333,0,0,0,0,0.015890501
10.72475,11.19018,1637.44,0.62296,1.92E-06,55.55555556,33.33333333,11.11111111,0,0,0,0,0.019387168
8.66416,9.32197,3886.71,0.75228,8.01E-06,55.48387097,34.19354839,7.741935484,2.580645161,0,0,0,0.078686857
4.18956,5.27018,1083.6,0.54322,1.06E-05,48.97959184,32.65306122,8.163265306,8.163265306,2.040816327,0,0,0.104892279
5.43904,6.14398,919.792,0.49478,5.52E-06,48.57142857,40,5.714285714,5.714285714,0,0,0,0.055160752
5.56556,6.69598,4205.5,0.71242,5.49E-06,50,33.33333333,5.555555556,11.11111111,0,0,0,0.054209959
15.82205,16.15914,1670.88,0.67106,1.46E-06,50,33.33333333,8.333333333,8.333333333,0,0,0,0.014549639
18.38514,18.68522,1903.9,0.69994,1.49E-06,53.57142857,35.71428571,3.571428571,3.571428571,3.571428571,0,0,0.014904293
25.36488,25.57848,1996.17,0.7575,1.76E-06,56.75675676,32.43243243,2.702702703,5.405405405,2.702702703,0,0,0.017564889
13.06993,13.36641,2031.07,0.71342,2.71E-06,37.5,25,6.25,25,0,0,6.25,0.027133892
30.47905,30.66932,2318.71,0.79876,1.79E-06,55,35,10,0,0,0,0,0.018006275
31.27516,31.45429,2326.3,0.79488,1.81E-06,57.14285714,38.0952381,4.761904762,0,0,0,0,0.018513052
7.29196,7.86216,1122.76,0.53858,2.72E-06,42.85714286,28.57142857,14.28571429,14.28571429,0,0,0,0.026917544
17.58343,18.30088,1754.43,0.66648,1.05E-06,39.13043478,39.13043478,8.695652174,13.04347826,0,0,0,0.010373275
22.5277,22.77767,1911.8,0.753,1.54E-06,41.17647059,29.41176471,11.76470588,17.64705882,0,0,0,0.015266076
22.43529,22.68169,1875.53,0.75368,1.45E-06,41.17647059,29.41176471,11.76470588,17.64705882,0,0,0,0.014613167
12.42904,12.69956,2437.77,0.7475,1.93E-06,42.85714286,28.57142857,7.142857143,17.85714286,0,0,3.571428571,0.019630984
17.47752,18.54702,4319.88,0.82808,8.24E-06,55.55555556,35.18518519,7.407407407,1.851851852,0,0,0,0.079714986
18.13247,18.45428,1718.87,0.69856,1.94E-06,55.17241379,34.48275862,6.896551724,3.448275862,0,0,0,0.019070405
9.98996,10.41381,1932.08,0.64946,2.06E-06,57.57575758,36.36363636,3.03030303,3.03030303,0,0,0,0.020357266
8.64917,8.96949,1723.91,0.60598,2.11E-06,56.52173913,37.68115942,2.898550725,2.898550725,0,0,0,0.021091644
9.37472,9.86201,1803.62,0.63048,1.74E-06,55.55555556,38.88888889,2.777777778,2.777777778,0,0,0,0.017346422
41.06276,41.12135,3046.83,0.85698,2.09E-06,54.05405405,37.83783784,5.405405405,0,0,2.702702703,0,0.021079679
11.81734,12.27786,1787.77,0.63744,1.56E-06,57.89473684,36.84210526,5.263157895,0,0,0,0,0.015555598
28.43648,28.9663,5040.11,0.8932,4.22E-06,52.63157895,36.84210526,5.263157895,0,0,0,5.263157895,0.053395403
13.04485,14.36169,7492.97,0.89002,4.78E-06,52.63157895,36.84210526,5.263157895,0,0,0,5.263157895,0.047211121
33.82956,34.43728,7824.79,0.90692,4.74E-06,55.71428571,38.57142857,4.285714286,0,0,0,1.428571429,0.047867497
13.41731,13.74601,1863.71,0.68,1.80E-06,58.20895522,35.82089552,5.970149254,0,0,0,0,0.017833184
21.38819,21.50268,2268.39,0.75204,2.02E-06,58.7628866,37.11340206,4.12371134,0,0,0,0,0.020180299
27.70101,27.83834,2361.38,0.78704,2.16E-06,60,39.23076923,0.769230769,0,0,0,0,0.020765796
17.50381,17.88585,1941.24,0.7227,1.99E-06,57,30,10,0,0,0,3,0.019875241
25.18439,25.57282,2013.22,0.7386,1.49E-06,51.42857143,40,2.857142857,5.714285714,0,0,0,0.014747932
21.04675,23.73238,5274.62,0.85516,6.51E-06,56.25,25,0,12.5,6.25,0,0,0.064283013
23.17778,23.39972,1878.3,0.72106,2.04E-06,56.25,25,0,12.5,6.25,0,0,0.020354588
23.17624,23.40945,2181.48,0.74792,1.90E-06,56.25,37.5,6.25,0,0,0,0,0.018465995
10.72475,11.19018,1637.44,0.62264,1.90E-06,55.55555556,33.33333333,11.11111111,0,0,0,0,0.019131916
21.00079,21.67796,2641.96,0.78104,2.91E-06,61.33333333,28,5.333333333,5.333333333,0,0,0,0.028680163
17.4324,17.68848,1430.65,0.70798,3.26E-06,56.89655172,25.86206897,6.896551724,10.34482759,0,0,0,0.032331604
18.96217,19.42127,2911.6,0.75694,6.16E-06,56.89655172,25.86206897,6.896551724,10.34482759,0,0,0,0.062658426
20.6317,20.85645,2029.34,0.73738,3.61E-06,59.09090909,27.27272727,4.545454545,9.090909091,0,0,0,0.035668073
23.24997,23.52769,2339.99,0.7718,7.18E-06,59.09090909,27.27272727,4.545454545,9.090909091,0,0,0,0.071440717
31.96665,32.11305,3169.09,0.81006,2.97E-06,59.375,31.25,3.125,6.25,0,0,0,0.029770185
13.4128,17.51535,5112.7,0.87876,3.41E-06,51.72413793,27.5862069,6.896551724,13.79310345,0,0,0,0.034017137
8.17402,11.20903,4080.35,0.76234,5.19E-06,58.44155844,25.97402597,5.194805195,10.38961039,0,0,0,0.052109633
29.13679,29.31085,1687.77,0.76196,1.54E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0,0.015474832
12.92396,13.22037,1160.49,0.56796,1.72E-06,53.65853659,31.70731707,9.756097561,4.87804878,0,0,0,0.017109981
18.55205,20.44724,3973.52,0.80844,7.39E-06,56.60377358,35.8490566,7.547169811,0,0,0,0,0.073005206
26.88194,27.08858,1633.33,0.73288,1.81E-06,58.66666667,30.66666667,5.333333333,5.333333333,0,0,0,0.018444645
25.81921,26.00679,1564.83,0.71978,1.78E-06,59.25925926,30.86419753,4.938271605,4.938271605,0,0,0,0.017072979
16.51179,16.92872,2246.59,0.66264,1.86E-06,51.28205128,38.46153846,5.128205128,5.128205128,0,0,0,0.018593991
12.62515,13.13524,1769.33,0.6238,2.70E-06,51.28205128,38.46153846,5.128205128,5.128205128,0,0,0,0.026581249
13.33514,13.70776,1318.74,0.56928,1.05E-06,57.14285714,28.57142857,0,7.142857143,7.142857143,0,0,0.01036421
25.90983,26.1534,3106.26,0.81574,2.31E-06,50,43.33333333,5,1.666666667,0,0,0,0.02256349
23.27554,23.57253,1489.85,0.67012,9.81E-07,56.36363636,37.27272727,3.636363636,2.727272727,0,0,0,0.009704879
23.16359,23.45655,1725.98,0.70162,1.20E-06,60.20408163,35.71428571,4.081632653,0,0,0,0,0.012293919
23.35047,23.64665,1502.38,0.66342,9.56E-07,56.75675676,37.83783784,2.702702703,2.702702703,0,0,0,0.009849238
23.33054,23.62181,1676.84,0.69462,1.29E-06,62.5,34.375,3.125,0,0,0,0,0.012995864
23.1796,23.46924,1462.3,0.65976,9.40E-07,58.33333333,36.11111111,2.777777778,2.777777778,0,0,0,0.009350264
13.98639,14.17973,1791,0.66004,1.75E-06,55.17241379,34.48275862,6.896551724,0,0,3.448275862,0,0.017528348
15.8688,16.4034,1825.47,0.68936,1.88E-06,59.57446809,31.91489362,4.255319149,0,0,4.255319149,0,0.018670798
17.10287,17.25029,1954.03,0.7023,2.08E-06,59.57446809,36.17021277,4.255319149,0,0,0,0,0.020943986
8.57866,10.56287,4905.99,0.74408,7.09E-06,59.57446809,36.17021277,4.255319149,0,0,0,0,0.069942999
20.19819,20.61325,2498.32,0.77006,1.93E-06,58.18181818,34.54545455,7.272727273,0,0,0,0,0.018975495
16.94731,17.28315,1692.3,0.66592,2.02E-06,57.14285714,34.69387755,4.081632653,4.081632653,0,0,0,0.020180902
23.83383,24.09671,2361.3,0.76826,2.01E-06,61.01694915,35.59322034,3.389830508,0,0,0,0,0.020587103
21.39542,21.5186,1949.54,0.72788,1.98E-06,58.18181818,34.54545455,7.272727273,0,0,0,0,0.019381585
29.1234,29.23226,2356.21,0.79738,2.17E-06,61.11111111,31.94444444,5.555555556,0,0,0,1.388888889,0.021585695
27.10992,27.16293,2440.57,0.78858,2.09E-06,58.2278481,36.70886076,2.53164557,2.53164557,0,0,0,0.021319113
24.12169,24.28935,2169.84,0.7553,2.00E-06,54.32098765,34.56790123,3.703703704,2.469135802,0,0,4.938271605,0.020002364
23.42248,23.47007,1909.99,0.73324,1.86E-06,55.84415584,32.46753247,2.597402597,2.597402597,0,0,6.493506494,0.018692676
25.49743,25.7192,2022.76,0.7552,2.13E-06,56.33802817,35.21126761,2.816901408,0,0,0,5.633802817,0.020990692
22.83805,23.04591,2074.96,0.72478,1.95E-06,51.68539326,41.57303371,2.247191011,0,0,0,4.494382022,0.019596692
20.42358,20.62353,2139.78,0.73616,2.15E-06,61.01694915,35.59322034,3.389830508,0,0,0,0,0.020840184
14.72116,14.86395,1822.28,0.65464,2.21E-06,59.45945946,35.13513514,5.405405405,0,0,0,0,0.021688538
23.31932,23.59518,2013.52,0.74246,2.00E-06,61.11111111,31.94444444,5.555555556,0,0,0,1.388888889,0.020108059
32.13152,32.29956,1750.75,0.76964,1.77E-06,64,24,0,8,4,0,0,0.017571249
39.81836,39.95495,1976.94,0.81,2.05E-06,66.66666667,22.22222222,0,7.407407407,3.703703704,0,0,0.020886987
18.34881,18.86524,2369.16,0.74762,2.28E-06,57.14285714,34.69387755,4.081632653,4.081632653,0,0,0,0.023179064
34.17201,34.32422,1717.4,0.77706,1.93E-06,65.38461538,23.07692308,0,7.692307692,3.846153846,0,0,0.019408438
20.88156,21.18049,2254.14,0.74812,2.06E-06,53.21100917,41.28440367,3.669724771,1.834862385,0,0,0,0.020941123
18.84547,19.1216,2228.95,0.73272,2.30E-06,52.42718447,39.80582524,3.883495146,1.941747573,0,0,1.941747573,0.022682456
10.52062,10.62648,1123.86,0.5242,2.11E-06,62.96296296,31.48148148,5.555555556,0,0,0,0,0.020924902
12.21245,12.68001,1742.77,0.65138,1.77E-06,60.52631579,35.52631579,3.947368421,0,0,0,0,0.01759496
11.40457,11.82847,1705.1,0.6277,2.99E-06,60.34482759,36.20689655,3.448275862,0,0,0,0,0.029524477
19.60464,19.70589,2123.17,0.73638,2.10E-06,51.54639175,38.1443299,4.12371134,2.06185567,0,0,4.12371134,0.021244568
29.43939,29.73503,2567,0.80038,1.87E-06,55.88235294,38.23529412,2.941176471,2.941176471,0,0,0,0.019337158
11.36258,11.81761,1574.15,0.59898,2.00E-06,57.89473684,36.84210526,5.263157895,0,0,0,0,0.020580992
11.50736,11.99864,1702.32,0.6378,1.49E-06,56.89655172,36.20689655,5.172413793,1.724137931,0,0,0,0.015242522
25.36984,25.71565,3327.9,0.79666,2.17E-06,47.05882353,47.05882353,2.941176471,2.941176471,0,0,0,0.021727531
12.51715,12.95632,1578.42,0.6236,1.81E-06,59.45945946,35.13513514,5.405405405,0,0,0,0,0.018239658
25.57106,25.87294,2183.85,0.76022,1.71E-06,50,39.28571429,7.142857143,3.571428571,0,0,0,0.017074566
28.48568,28.5332,2378.89,0.75756,2.28E-06,57.14285714,38.0952381,4.761904762,0,0,0,0,0.023204389
35.14301,35.24752,2634.34,0.79244,2.28E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,0.022722821
6.26088,9.17763,2290.92,0.65026,3.41E-06,56.60377358,36.79245283,6.603773585,0,0,0,0,0.034152796
6.59713,9.08273,3764.34,0.70642,4.75E-06,57.35294118,37.5,5.147058824,0,0,0,0,0.047256633
6.17782,6.89431,1125.79,0.53052,2.98E-06,58.33333333,36.11111111,5.555555556,0,0,0,0,0.029712993
11.92018,12.54213,1891.3,0.64064,2.64E-06,56.89655172,37.93103448,5.172413793,0,0,0,0,0.026245845
9.49048,9.80036,1374.21,0.57654,1.54E-06,55.93220339,37.28813559,6.779661017,0,0,0,0,0.015223118
16.34537,16.54654,1844.09,0.66456,2.05E-06,62.74509804,33.33333333,3.921568627,0,0,0,0,0.020183731
16.91517,17.24318,1955.52,0.68536,1.99E-06,62.74509804,33.33333333,3.921568627,0,0,0,0,0.01994726
16.14146,16.26743,1843,0.66098,2.01E-06,62.74509804,33.33333333,3.921568627,0,0,0,0,0.019427023
30.53322,30.65329,2647.85,0.81772,3.35E-06,60.86956522,34.7826087,4.347826087,0,0,0,0,0.033513732
30.50054,30.62043,2640.78,0.81748,3.36E-06,60.86956522,34.7826087,4.347826087,0,0,0,0,0.034026921
33.05829,33.14216,2003.78,0.75066,3.73E-06,60.78431373,35.29411765,3.921568627,0,0,0,0,0.037749172
33.79748,33.88417,2117.77,0.75758,3.34E-06,60.78431373,35.29411765,3.921568627,0,0,0,0,0.033211875
13.04774,13.2515,4253.42,0.78956,3.79E-06,59.42028986,34.7826087,5.797101449,0,0,0,0,0.037890773
18.22884,18.48675,2770.7,0.76492,2.38E-06,57.89473684,38.59649123,3.50877193,0,0,0,0,0.024097856
30.6573,30.83079,1379.95,0.71734,1.21E-06,60.71428571,28.57142857,0,7.142857143,3.571428571,0,0,0.012226805
37.29832,37.44618,1488.57,0.75364,1.36E-06,62.85714286,28.57142857,0,5.714285714,2.857142857,0,0,0.013168057
39.99832,40.13594,1568.13,0.77334,1.42E-06,60.60606061,30.3030303,0,6.060606061,3.03030303,0,0,0.01421882
25.52152,25.82069,2225.47,0.76196,1.61E-06,49.39759036,38.55421687,8.43373494,3.614457831,0,0,0,0.016596822
27.08188,27.32945,2452.51,0.7901,1.86E-06,53.52112676,36.61971831,9.85915493,0,0,0,0,0.018470319
25.57106,25.87294,2183.85,0.76022,1.71E-06,50,39.28571429,7.142857143,3.571428571,0,0,0,0.017197213
27.8263,28.08589,2461.66,0.79404,2.02E-06,54.16666667,37.5,8.333333333,0,0,0,0,0.020079043
25.74682,26.03906,2165.97,0.76394,1.44E-06,48.14814815,37.03703704,11.11111111,3.703703704,0,0,0,0.014084707
24.29876,24.8572,4799.77,0.86738,1.02E-05,54.54545455,27.27272727,7.272727273,10.90909091,0,0,0,0.09978161
8.23791,9.95024,4905.42,0.79804,3.32E-06,56.60377358,32.0754717,7.547169811,0,0,3.773584906,0,0.032876296
8.23791,9.95024,4905.42,0.79804,3.33E-06,56.60377358,32.0754717,7.547169811,0,0,3.773584906,0,0.033334545
24.81519,25.07846,2231.33,0.75988,1.88E-06,52,40,4,0,0,0,4,0.019573222
38.04246,38.19715,2393.25,0.82342,2.00E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,0.02006352
13.28883,13.57896,3498.39,0.75922,5.60E-06,52,40,4,4,0,0,0,0.056153627
30.62454,30.81411,2345.93,0.79384,1.82E-06,57.14285714,38.0952381,4.761904762,0,0,0,0,0.017944095
16.50094,16.85758,6028.37,0.80082,5.58E-06,57.14285714,38.0952381,4.761904762,0,0,0,0,0.055411715
11.58802,12.00765,1487.37,0.61732,1.63E-06,55,35,5,5,0,0,0,0.016020925
17.58148,17.83307,2044.58,0.69956,1.98E-06,56.96202532,37.97468354,5.063291139,0,0,0,0,0.019951694
18.9993,19.28655,1973.29,0.71152,1.47E-06,58.62068966,37.93103448,3.448275862,0,0,0,0,0.014720214
27.51506,27.72757,2195.29,0.75924,2.07E-06,48.71794872,41.02564103,5.128205128,2.564102564,0,0,2.564102564,0.020823019
23.542,23.77903,1887.1,0.73014,1.67E-06,50,37.5,8.333333333,0,0,0,4.166666667,0.016775146
4.4389,5.74576,1782.3,0.6265,6.74E-06,55.55555556,33.33333333,11.11111111,0,0,0,0,0.067015458
29.5867,29.76499,2058.13,0.78466,1.63E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,0.016300935
28.13916,28.40894,1982.43,0.76298,1.29E-06,51.85185185,40.74074074,7.407407407,0,0,0,0,0.012631333
14.94592,15.43792,1640.87,0.6496,1.04E-06,51.2195122,41.46341463,7.317073171,0,0,0,0,0.010483268
8.77033,9.31,1076.04,0.5207,1.49E-06,50,28.57142857,7.142857143,7.142857143,7.142857143,0,0,0.014847482
20.88933,21.1573,1572.26,0.69206,1.43E-06,55.55555556,22.22222222,11.11111111,11.11111111,0,0,0,0.01437054
18.74254,19.03739,2004.76,0.7177,1.65E-06,58.62068966,37.93103448,3.448275862,0,0,0,0,0.016517079
16.38075,16.68959,1670.4,0.64732,1.65E-06,61.53846154,38.46153846,0,0,0,0,0,0.016586453
11.62104,12.05793,1687.25,0.63046,1.49E-06,55.55555556,33.33333333,11.11111111,0,0,0,0,0.014996827
20.9312,21.11229,1939.36,0.68618,1.63E-06,53.33333333,36.66666667,6.666666667,0,0,0,3.333333333,0.015937259
11.62721,12.03968,1344.93,0.60644,1.99E-06,50,20,0,15,10,0,5,0.019666644
18.52548,18.80278,1557.66,0.7021,1.94E-06,55.17241379,20.68965517,0,13.79310345,6.896551724,0,3.448275862,0.019240792
21.06636,21.3734,1985.24,0.71596,1.65E-06,59.25925926,29.62962963,7.407407407,0,0,0,3.703703704,0.016258441
26.79229,26.99111,1650.73,0.75006,2.08E-06,55.55555556,22.22222222,0,11.11111111,5.555555556,0,5.555555556,0.020750474
24.64025,24.84194,1531.59,0.72922,2.00E-06,56.25,18.75,0,12.5,6.25,0,6.25,0.019912913
36.44815,36.6259,2078.84,0.81404,2.00E-06,55.55555556,29.62962963,0,11.11111111,3.703703704,0,0,0.02046363
27.09127,27.26494,2293.81,0.7799,1.89E-06,52,40,4,4,0,0,0,0.018924908
27.94767,28.34328,4405.58,0.87044,4.25E-06,55.76923077,26.92307692,0,11.53846154,5.769230769,0,0,0.042770018
22.59156,22.84761,1784.64,0.74626,1.81E-06,50,21.42857143,14.28571429,7.142857143,0,0,7.142857143,0.018246147
12.65155,13.08539,2423.43,0.73584,1.56E-06,53.48837209,34.88372093,9.302325581,2.325581395,0,0,0,0.016000846
20.37761,20.70106,2424.64,0.75854,1.46E-06,42.10526316,36.84210526,10.52631579,10.52631579,0,0,0,0.014511223
23.76481,24.00484,2326.11,0.76326,1.87E-06,56.25,37.5,6.25,0,0,0,0,0.01847593
16.10076,16.34232,1968.47,0.64338,2.25E-06,43.47826087,39.13043478,8.695652174,8.695652174,0,0,0,0.022342936
16.9597,17.26716,2053.78,0.67522,1.56E-06,43.47826087,39.13043478,8.695652174,8.695652174,0,0,0,0.015689058
18.74902,19.01349,1246.34,0.65726,7.48E-07,43.47826087,39.13043478,8.695652174,8.695652174,0,0,0,0.007505916
19.56542,19.82916,1860.62,0.70208,1.65E-06,42.10526316,36.84210526,10.52631579,10.52631579,0,0,0,0.016318969
20.70568,20.85117,2137.34,0.73326,1.45E-06,42.10526316,36.84210526,10.52631579,10.52631579,0,0,0,0.014563211
15.56433,15.83151,1893.86,0.62916,2.50E-06,40,44,8,8,0,0,0,0.024702974
16.95958,17.26706,2053.78,0.67522,1.55E-06,43.47826087,39.13043478,8.695652174,8.695652174,0,0,0,0.015565175
18.71642,18.98337,1244.36,0.65714,7.50E-07,43.47826087,39.13043478,8.695652174,8.695652174,0,0,0,0.007390292
14.93228,15.42068,2079.8,0.68446,2.06E-06,54.92957746,38.02816901,7.042253521,0,0,0,0,0.020427858
16.79646,17.19289,2103.71,0.7034,1.97E-06,56.96202532,37.97468354,5.063291139,0,0,0,0,0.019964159
8.11322,8.37051,1271.31,0.54238,2.14E-06,45.83333333,37.5,14.58333333,0,0,2.083333333,0,0.021316965
8.87747,9.10994,2673.9,0.69804,2.57E-06,56,28,8,8,0,0,0,0.025827094
28.33863,28.48346,2028.24,0.7632,2.24E-06,48.48484848,39.39393939,6.060606061,6.060606061,0,0,0,0.023053281
34.66495,34.74847,2033.86,0.7944,1.89E-06,48.27586207,37.93103448,6.896551724,6.896551724,0,0,0,0.019389306
28.21856,28.36973,2073.08,0.76346,2.20E-06,45.71428571,42.85714286,5.714285714,5.714285714,0,0,0,0.022193127
22.55143,22.78255,2080.11,0.71354,2.14E-06,42.85714286,45.23809524,4.761904762,4.761904762,0,0,2.380952381,0.02160543
19.29739,19.60248,2102.21,0.71648,1.82E-06,58.62068966,37.93103448,3.448275862,0,0,0,0,0.018457058
18.29288,18.81782,1980.83,0.70742,1.58E-06,57.14285714,35.71428571,7.142857143,0,0,0,0,0.015523808
10.36487,10.81315,1398.14,0.58238,1.56E-06,50,37.5,10.71428571,0,0,1.785714286,0,0.016106039
14.74722,15.09602,1856.43,0.67832,1.69E-06,52.17391304,34.7826087,8.695652174,4.347826087,0,0,0,0.017241495
13.21507,13.58604,1380.99,0.58608,1.51E-06,53.33333333,33.33333333,6.666666667,6.666666667,0,0,0,0.015126509
16.90565,17.16309,2325.08,0.73194,2.64E-06,49.27536232,39.13043478,5.797101449,5.797101449,0,0,0,0.026181295
10.31186,10.74049,1377.64,0.5875,1.19E-06,60,30,10,0,0,0,0,0.012073575
28.42026,28.5962,2008.53,0.75602,1.85E-06,45.16129032,38.70967742,9.677419355,6.451612903,0,0,0,0.018462838
10.29935,10.74823,1347.28,0.58716,1.41E-06,47.16981132,33.96226415,16.98113208,0,0,1.886792453,0,0.013705857
10.51468,10.91633,1690.77,0.63038,2.05E-06,52.17391304,26.08695652,17.39130435,0,0,0,4.347826087,0.02016675
21.85306,22.19192,2607.27,0.7468,1.94E-06,46.875,43.75,3.125,3.125,0,0,3.125,0.019133582
16.55631,16.69084,2347.22,0.72422,2.22E-06,54.54545455,40.90909091,4.545454545,0,0,0,0,0.022211028
19.83084,20.07648,2054.8,0.7362,2.92E-06,56.25,40.625,3.125,0,0,0,0,0.029345613
14.96924,15.41147,1924.94,0.6705,2.04E-06,54.92957746,38.02816901,7.042253521,0,0,0,0,0.020680799
16.26602,16.67361,2122.59,0.70438,1.66E-06,56.96202532,37.97468354,5.063291139,0,0,0,0,0.016314368
15.36759,15.76389,1799.88,0.68804,2.38E-06,55.26315789,35.52631579,9.210526316,0,0,0,0,0.023857624
19.25409,20.34648,4356.02,0.81606,4.38E-06,55.68181818,36.36363636,7.954545455,0,0,0,0,0.044412628
14.55347,15.19586,2277.53,0.7147,2.35E-06,54.92957746,38.02816901,7.042253521,0,0,0,0,0.023648352
15.85734,16.11387,1800.9,0.68812,2.63E-06,56.41025641,37.17948718,6.41025641,0,0,0,0,0.026148027
25.47826,25.67443,1820.63,0.75434,2.22E-06,50,33.33333333,11.11111111,5.555555556,0,0,0,0.022219179
14.94037,15.46864,2809.8,0.69974,2.19E-06,44.44444444,44.44444444,2.777777778,8.333333333,0,0,0,0.021919785
22.64663,22.85845,1704.04,0.712,1.78E-06,52.94117647,35.29411765,5.882352941,5.882352941,0,0,0,0.017927524
31.3507,31.51617,2259,0.792,1.88E-06,60,35,5,0,0,0,0,0.019141689
11.97745,12.45675,4603.61,0.77364,5.50E-06,57.14285714,33.33333333,4.761904762,0,0,4.761904762,0,0.055692771
32.98954,33.17197,2536.76,0.82204,2.29E-06,57.89473684,31.57894737,5.263157895,5.263157895,0,0,0,0.022614516
20.88746,21.09979,1398.63,0.68848,1.31E-06,50,18.75,12.5,18.75,0,0,0,0.013156223
28.17131,28.37474,2237.12,0.7745,2.26E-06,54.16666667,41.66666667,4.166666667,0,0,0,0,0.022419808
26.34024,26.55682,2231.11,0.7575,1.83E-06,52,40,4,4,0,0,0,0.018298502
22.05409,22.20649,1702.27,0.71942,1.44E-06,47.36842105,36.84210526,10.52631579,5.263157895,0,0,0,0.014638568
17.73551,18.05827,1329.81,0.64212,8.64E-07,45.83333333,37.5,8.333333333,8.333333333,0,0,0,0.008603252
21.14333,21.40651,1479.04,0.69508,1.47E-06,47.36842105,26.31578947,10.52631579,15.78947368,0,0,0,0.014954674
20.68935,20.97446,1837.07,0.71228,1.73E-06,50,33.33333333,5.555555556,11.11111111,0,0,0,0.017503146
18.03683,18.36343,1869.19,0.67788,1.57E-06,47.61904762,38.0952381,4.761904762,9.523809524,0,0,0,0.015529037
